%
Project ID	saudardalsstifla
Sounding ID	6
Zero values	2442.8 27492.0 2051.0 2476.5 27468.0 2050.6
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
4.70	17.7	9.5	81.2	1.039	32.95	3.0
4.71	17.7	9.8	82.53	1.069	33.1	3.0
4.72	17.8	10.1	82.45	1.188	33.65	2.0
4.73	17.8	10.3	86.1	1.316	33.7	2.0
4.74	17.5	10.4	86.85	1.431	35.0	2.0
4.75	18.3	10.5	83.15	1.471	38.79	2.0
4.76	17.5	10.8	81.0	1.477	41.95	2.0
4.77	17.5	11.1	84.05	1.49	42.7	2.0
4.78	17.8	11.5	84.45	1.549	45.25	2.0
4.79	1.1	0.1	48.19	0.858	38.32	4.0
4.80	5.6	1.4	39.96	0.692	35.92	5.0
4.81	12.9	12.8	49.36	0.944	41.2	4.0
4.82	14.8	13.2	67.09	1.477	47.55	3.0
4.83	15.3	13.0	74.0	1.906	47.35	2.0
4.84	16.0	12.8	87.2	2.013	46.93	2.0
4.85	16.3	12.6	102.6	2.001	48.6	2.0
4.86	16.1	12.3	105.2	1.925	47.65	2.0
4.87	16.5	12.2	104.5	1.866	46.9	2.0
4.88	16.2	12.1	103.4	1.838	46.45	2.0
4.89	16.4	12.0	100.43	1.796	46.6	2.0
4.90	16.0	12.1	98.8	1.753	45.5	2.0
4.91	17.4	12.1	98.7	1.754	43.35	2.0
4.92	18.6	12.1	99.45	1.776	41.95	2.0
4.93	18.0	12.4	101.0	1.828	41.75	2.0
4.94	17.8	12.6	103.05	1.935	40.75	2.0
4.95	18.0	12.9	107.05	2.074	39.85	1.0
4.96	18.2	13.0	113.83	2.286	38.5	1.0
4.97	18.4	12.9	116.7	2.423	36.9	1.0
4.98	18.4	12.8	116.3	2.397	36.45	1.0
4.99	18.3	12.6	114.5	2.339	35.5	1.0
5.00	18.5	12.4	111.35	2.263	33.5	1.0
5.01	18.2	12.3	108.3	2.159	31.3	1.0
5.02	18.3	12.2	105.75	2.033	30.35	1.0
5.03	18.2	12.1	102.7	1.943	29.9	1.0
5.04	17.8	12.1	99.5	1.883	29.8	1.0
5.05	18.3	12.1	97.55	1.826	30.3	1.0
5.06	18.2	11.9	95.53	1.75	31.7	1.0
5.07	18.2	11.9	92.95	1.69	33.15	1.0
5.08	18.6	11.9	91.65	1.653	34.1	2.0
5.09	18.5	11.8	90.15	1.577	34.75	2.0
5.10	18.5	11.8	87.9	1.489	35.1	2.0
5.11	17.9	11.7	85.25	1.427	35.04	2.0
5.12	18.1	11.7	82.45	1.372	34.7	2.0
5.13	18.5	11.8	80.75	1.325	34.15	2.0
5.14	19.1	11.8	80.0	1.29	34.04	2.0
5.15	18.6	11.8	79.4	1.265	34.45	2.0
5.16	19.0	11.9	79.59	1.24	35.25	2.0
5.17	18.7	12.0	80.65	1.213	36.45	3.0
5.18	18.6	12.2	81.4	1.204	37.79	3.0
5.19	18.6	12.6	83.1	1.221	39.0	3.0
5.20	18.8	12.9	88.73	1.33	41.63	3.0
5.21	18.5	13.0	94.7	1.515	44.3	2.0
5.22	18.5	13.1	97.65	1.605	45.85	2.0
5.23	18.2	13.3	99.5	1.647	46.1	2.0
5.24	18.9	13.5	101.3	1.641	48.85	2.0
5.25	18.5	13.8	103.35	1.615	56.75	3.0
5.26	18.4	14.1	106.1	1.693	60.6	3.0
5.27	17.8	14.5	111.75	1.843	61.35	3.0
5.28	18.4	14.8	119.6	1.978	61.55	3.0
5.29	18.7	14.9	124.65	2.108	61.0	2.0
5.30	18.5	15.0	125.8	2.166	64.25	2.0
5.31	18.7	15.1	127.05	2.135	68.59	3.0
5.32	18.9	15.1	130.0	2.096	73.59	3.0
5.33	18.8	15.0	132.05	2.037	80.3	3.0
5.34	18.7	15.0	139.93	1.917	82.93	4.0
5.35	18.5	15.0	146.44	1.82	85.85	4.0
5.36	18.7	15.0	151.3	1.847	84.65	4.0
5.37	18.2	15.1	162.44	1.763	91.6	5.0
5.38	19.1	15.1	170.25	1.645	99.8	6.0
5.39	18.8	15.2	173.55	1.635	95.8	5.0
5.40	18.4	15.3	174.95	1.678	90.1	5.0
5.41	18.3	15.4	174.2	1.734	91.55	5.0
5.42	18.7	15.5	173.2	1.766	96.1	5.0
5.43	18.7	15.6	176.15	1.829	95.9	5.0
5.44	19.2	15.6	178.65	1.917	91.3	4.0
5.45	18.9	15.5	177.9	1.937	88.6	4.0
5.46	19.1	15.4	177.3	1.912	84.1	4.0
5.47	18.8	15.3	176.6	1.896	76.5	4.0
5.48	18.6	15.2	175.4	1.888	73.09	3.0
5.49	18.6	15.2	171.46	1.839	69.2	3.0
5.50	18.7	15.2	167.3	1.742	66.5	3.0
5.51	18.6	15.3	165.55	1.709	62.4	3.0
5.52	18.8	15.3	163.69	1.688	57.2	3.0
5.53	18.4	15.4	162.35	1.659	55.9	3.0
5.54	18.4	15.5	161.4	1.66	57.55	3.0
5.55	18.7	15.6	159.4	1.647	60.5	3.0
5.56	18.6	15.6	160.15	1.636	61.25	3.0
5.57	18.9	15.6	161.69	1.656	61.0	3.0
5.58	18.3	15.5	159.0	1.626	64.3	3.0
5.59	18.7	15.4	157.55	1.579	66.2	4.0
5.60	18.5	15.3	157.5	1.552	64.34	4.0
5.61	19.1	15.3	156.5	1.543	62.15	4.0
5.62	18.6	15.2	149.83	1.434	62.76	4.0
5.63	18.9	15.1	139.15	1.235	64.7	5.0
5.64	19.0	15.0	135.69	1.116	67.2	6.0
5.65	18.6	14.9	137.5	0.996	68.05	6.0
5.66	18.7	14.9	136.85	0.874	67.2	7.0
5.67	18.7	14.9	135.35	0.798	67.45	8.0
5.68	18.7	15.0	137.44	0.767	68.45	8.0
5.69	18.5	15.0	139.4	0.751	67.8	9.0
5.70	18.8	15.1	140.3	0.743	67.55	9.0
5.71	18.2	15.2	141.85	0.755	67.84	8.0
5.72	18.6	15.4	144.94	0.781	65.5	8.0
5.73	18.4	15.6	149.9	0.83	62.85	7.0
5.74	18.5	15.7	154.05	0.89	62.2	6.0
5.75	18.6	15.8	157.1	0.948	63.5	6.0
5.76	19.2	15.7	159.9	0.993	63.6	6.0
5.77	18.7	15.5	159.85	0.999	62.4	6.0
5.78	18.4	15.4	152.4	0.901	58.73	6.0
5.79	18.8	15.3	145.35	0.776	57.05	7.0
5.80	18.9	15.3	147.55	0.716	56.2	7.0
5.81	18.9	15.3	150.35	0.653	53.9	8.0
5.82	18.7	15.3	149.5	0.611	53.0	8.0
5.83	18.3	15.4	151.1	0.65	48.27	7.0
5.84	18.3	15.4	157.16	0.762	43.26	5.0
5.85	18.5	15.5	158.0	0.8	40.79	5.0
5.86	18.4	15.4	158.0	0.8	40.79	5.0
5.87	18.7	15.4	158.0	0.8	40.79	5.0
5.88	18.5	15.4	155.6	0.803	40.65	5.0
5.89	18.7	15.5	154.15	0.817	38.15	4.0
5.90	18.9	15.6	155.65	0.857	34.54	4.0
5.91	18.5	15.6	157.44	0.915	32.7	3.0
5.92	18.5	15.6	161.86	0.978	30.13	3.0
5.93	18.6	15.7	165.65	1.037	26.95	2.0
5.94	18.5	15.7	166.75	1.067	25.35	2.0
5.95	18.7	15.8	167.05	1.075	23.5	2.0
5.96	18.6	15.8	166.85	1.077	21.25	1.0
5.97	18.4	15.8	166.75	1.08	19.55	1.0
5.98	18.7	15.9	166.75	1.083	18.25	1.0
5.99	18.7	15.9	166.65	1.083	17.3	1.0
6.00	18.6	15.9	165.75	1.082	16.6	1.0
6.01	18.5	16.0	164.15	1.079	16.0	1.0
6.02	18.4	16.0	162.75	1.069	15.5	1.0
6.03	18.5	16.0	161.5	1.055	15.45	1.0
6.04	18.6	16.0	160.0	1.044	15.5	1.0
6.05	18.5	16.0	157.86	1.037	15.13	1.0
6.06	18.7	16.0	157.0	1.045	15.1	1.0
6.07	18.6	16.0	157.3	1.059	15.15	1.0
6.08	18.8	15.9	158.05	1.076	15.2	1.0
6.09	18.5	15.9	159.0	1.096	15.2	1.0
6.10	18.7	15.9	160.5	1.134	15.1	1.0
6.11	18.7	16.0	162.8	1.196	14.85	1.0
6.12	18.9	16.1	166.1	1.254	14.7	1.0
6.13	18.5	16.1	169.85	1.301	14.7	1.0
6.14	18.6	16.1	172.5	1.355	14.85	1.0
6.15	18.3	16.1	174.1	1.406	15.1	1.0
6.16	18.3	16.2	175.9	1.439	15.3	1.0
6.17	18.7	16.2	177.9	1.466	15.35	1.0
6.18	18.4	16.3	179.3	1.498	15.3	1.0
6.19	18.4	16.3	181.33	1.55	15.26	0.0
6.20	18.7	16.4	185.0	1.598	15.35	0.0
6.21	18.3	16.5	188.4	1.644	15.5	0.0
6.22	18.1	16.6	192.6	1.728	15.6	0.0
6.23	18.2	16.9	197.85	1.861	15.7	0.0
6.24	18.4	17.1	205.45	1.999	16.1	0.0
6.25	18.8	16.9	213.35	2.103	16.95	0.0
6.26	18.4	16.8	216.45	2.131	17.64	0.0
6.27	18.7	16.7	214.35	2.051	17.6	0.0
6.28	19.1	16.7	209.85	1.954	17.2	0.0
6.29	18.9	16.5	205.0	1.895	16.8	0.0
6.30	18.8	16.5	200.95	1.835	16.6	0.0
6.31	18.8	16.4	197.3	1.763	16.8	0.0
6.32	18.6	16.4	192.85	1.703	17.45	1.0
6.33	18.2	16.4	186.2	1.638	18.46	1.0
6.34	18.7	16.4	181.45	1.567	19.5	1.0
6.35	18.6	16.4	178.9	1.509	20.1	1.0
6.36	18.7	16.4	175.8	1.464	20.65	1.0
6.37	19.1	16.3	172.45	1.431	21.15	1.0
6.38	18.6	16.2	170.15	1.404	21.45	1.0
6.39	18.6	16.4	169.0	1.396	21.55	1.0
6.40	18.8	16.4	169.16	1.407	22.13	1.0
6.41	18.8	16.4	170.15	1.439	23.17	1.0
6.42	18.5	16.4	170.3	1.454	23.25	1.0
6.43	18.4	16.6	170.2	1.454	23.1	1.0
6.44	18.6	16.6	170.2	1.454	23.1	1.0
6.45	18.3	16.6	170.2	1.454	23.1	1.0
6.46	18.6	16.6	170.33	1.458	22.86	1.0
6.47	18.2	16.7	170.4	1.466	22.55	1.0
6.48	19.3	16.7	170.3	1.472	22.4	1.0
6.49	18.3	16.8	170.85	1.482	22.2	1.0
6.50	18.5	17.0	172.15	1.517	22.0	1.0
6.51	17.8	17.2	174.0	1.585	21.8	1.0
6.52	19.1	17.3	177.45	1.661	21.7	1.0
6.53	18.0	17.4	182.6	1.74	21.55	1.0
6.54	19.0	17.5	187.1	1.844	21.35	1.0
6.55	18.2	17.6	190.3	1.953	21.25	1.0
6.56	18.9	17.6	193.4	2.019	21.05	1.0
6.57	18.0	17.7	196.3	2.054	20.85	1.0
6.58	18.2	17.7	197.95	2.082	20.75	0.0
6.59	18.9	17.7	198.45	2.097	20.45	0.0
6.60	18.6	17.7	198.23	2.098	19.89	0.0
6.61	19.5	17.6	196.45	2.088	19.3	0.0
6.62	18.4	17.6	194.45	2.05	18.89	0.0
6.63	18.7	17.6	192.55	1.989	18.8	0.0
6.64	18.8	17.4	189.95	1.936	18.75	0.0
6.65	18.6	17.3	186.0	1.889	18.55	0.0
6.66	18.4	17.3	182.1	1.811	18.35	1.0
6.67	19.0	17.2	179.3	1.72	18.2	1.0
6.68	19.0	17.1	175.95	1.651	17.89	1.0
6.69	18.4	17.0	171.65	1.593	17.7	1.0
6.70	18.9	17.0	168.15	1.539	17.95	1.0
6.71	18.5	17.0	165.7	1.484	18.6	1.0
6.72	19.2	17.0	163.9	1.435	19.3	1.0
6.73	18.1	17.1	162.35	1.408	20.05	1.0
6.74	18.8	17.2	161.05	1.395	21.05	1.0
6.75	17.8	17.2	161.26	1.416	21.9	1.0
6.76	18.5	17.4	163.35	1.471	22.5	1.0
6.77	18.1	17.5	166.45	1.524	22.9	1.0
6.78	18.4	17.6	168.8	1.571	23.25	1.0
6.79	19.1	17.7	169.85	1.607	23.7	1.0
6.80	18.8	17.7	170.5	1.624	23.8	1.0
6.81	17.7	17.8	171.3	1.636	23.6	1.0
6.82	18.3	17.9	171.65	1.65	23.4	1.0
6.83	18.9	17.9	171.5	1.652	23.2	1.0
6.84	18.8	17.9	171.15	1.645	23.3	1.0
6.85	18.3	17.9	170.55	1.629	23.25	1.0
6.86	18.9	17.8	168.35	1.592	22.7	1.0
6.87	18.3	17.8	162.69	1.463	23.13	1.0
6.88	18.9	17.8	155.65	1.325	24.6	1.0
6.89	18.3	17.9	150.44	1.263	26.3	2.0
6.90	18.0	18.2	149.19	1.248	29.0	2.0
6.91	18.4	18.4	152.6	1.334	31.45	2.0
6.92	18.3	18.4	156.3	1.429	33.1	2.0
6.93	18.6	18.5	158.85	1.479	35.29	2.0
6.94	18.1	18.6	159.75	1.493	36.85	2.0
6.95	18.9	18.6	158.5	1.455	37.29	2.0
6.96	18.1	18.6	155.44	1.376	38.29	2.0
6.97	18.5	18.8	151.44	1.318	39.6	3.0
6.98	17.7	19.0	148.55	1.284	42.35	3.0
6.99	17.5	19.1	152.73	1.266	48.06	3.0
7.00	17.3	19.2	158.8	1.287	52.7	4.0
7.01	17.3	19.3	163.0	1.327	50.6	3.0
7.02	17.0	19.4	165.3	1.363	47.2	3.0
7.03	17.5	19.3	165.8	1.388	45.05	3.0
7.04	16.8	19.2	165.15	1.372	43.8	3.0
7.05	17.4	19.2	159.0	1.277	42.53	3.0
7.06	17.4	19.2	153.15	1.185	41.35	3.0
7.07	15.6	19.3	151.8	1.141	41.3	3.0
7.08	13.0	19.9	150.69	1.117	42.8	3.0
7.09	10.8	20.4	154.46	1.156	47.26	4.0
7.10	7.1	20.9	163.3	1.349	50.3	3.0
7.11	4.1	21.8	159.96	1.294	48.48	3.0
7.12	10.7	20.8	163.1	1.332	47.23	3.0
7.13	10.7	20.9	164.43	1.429	43.96	3.0
7.14	11.5	20.9	163.05	1.431	40.65	2.0
7.15	12.2	21.0	162.53	1.421	39.03	2.0
7.16	14.4	21.0	162.1	1.414	38.1	2.0
7.17	14.4	21.1	162.23	1.398	37.1	2.0
7.18	1.5	0.1	119.69	0.753	23.33	3.0
7.19	10.1	1.6	109.67	0.645	20.05	3.0
7.20	10.7	21.2	113.5	0.721	25.5	3.0
7.21	10.9	23.8	138.87	1.109	33.88	3.0
7.22	31.4	22.4	163.62	1.494	38.77	2.0
7.23	24.6	22.5	183.4	1.671	45.2	2.0
7.24	23.3	22.5	186.4	1.425	50.0	3.0
7.25	21.4	22.6	173.26	1.258	49.54	3.0
7.26	20.8	22.6	171.76	1.277	49.5	3.0
7.27	20.7	22.7	171.56	1.315	49.58	3.0
7.28	21.8	22.9	164.02	1.146	52.7	4.0
7.29	16.9	23.1	141.51	0.757	52.15	6.0
7.30	5.4	23.6	148.01	0.894	63.21	7.0
7.31	1.6	24.6	133.64	0.755	54.51	7.0
7.32	10.5	25.1	130.1	0.744	54.1	7.0
7.34	172.8	22.2	130.1	0.744	54.1	7.0	91: Can not be pushed further
7.35	164.5	21.8	130.1	0.744	54.1	7.0
