%
Project ID	saudardalsstifla
Sounding ID	2
Zero values	2432.9 27494.0 2051.0 2466.7 27450.0 2050.8
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
0.01	1.4	0.0	-0.84	0.003	0.26	6.0
0.02	10.9	0.1	-0.86	0.004	0.26	5.0
0.03	12.2	0.1	-0.55	0.01	0.25	2.0
0.04	13.4	0.1	0.53	0.023	0.2	0.0
0.05	15.9	0.1	2.75	0.045	0.1	0.0
0.06	16.4	0.1	3.75	0.077	0.1	0.0
0.07	16.2	0.1	4.25	0.117	0.1	0.0
0.08	16.5	0.1	10.93	0.169	0.23	0.0
0.09	18.2	0.2	21.45	0.328	0.8	0.0
0.10	18.6	0.3	28.95	0.694	1.4	0.0
0.11	18.9	0.4	36.04	1.185	1.9	0.0
0.12	17.8	0.4	47.15	1.582	2.8	0.0
0.13	18.9	0.4	56.2	1.827	4.05	0.0
0.14	19.7	0.4	60.45	1.993	4.9	0.0
0.15	19.3	0.4	66.3	2.101	5.7	0.0
0.16	19.4	0.4	75.09	2.127	7.0	0.0
0.17	19.4	0.4	74.8	2.109	8.3	0.0
0.18	19.5	0.4	66.65	2.053	9.15	0.0
0.19	19.8	0.4	63.7	1.975	9.9	0.0
0.20	20.2	0.4	65.15	1.912	10.75	0.0
0.21	21.4	0.4	68.7	1.865	12.2	0.0
0.22	21.9	0.4	74.09	1.847	13.95	0.0
0.23	22.0	0.4	77.8	1.886	14.95	0.0
0.24	17.3	0.5	77.0	1.965	15.6	0.0
0.25	14.1	0.5	76.93	2.084	16.89	0.0
0.26	17.2	0.5	77.65	2.209	18.05	0.0
0.27	18.1	0.5	77.95	2.347	18.45	0.0
0.28	17.7	0.6	77.4	2.474	18.75	0.0
0.29	18.0	0.6	74.55	2.561	19.14	0.0
0.30	18.5	0.6	72.84	2.64	19.14	0.0
0.31	18.5	0.6	71.15	2.712	18.95	0.0
0.32	18.4	0.6	69.4	2.762	18.8	0.0
0.33	17.7	0.6	68.09	2.794	18.55	0.0
0.34	18.1	0.6	65.63	2.842	17.93	0.0
0.35	18.4	0.6	62.95	2.888	17.45	0.0
0.36	18.4	0.6	60.5	2.912	17.35	0.0
0.37	18.3	0.6	56.8	2.927	17.14	0.0
0.38	18.4	0.6	54.1	2.95	17.2	0.0
0.39	18.2	0.7	52.5	2.983	17.6	0.0
0.40	18.2	0.7	49.8	3.007	17.75	0.0
0.41	18.2	0.7	46.4	3.025	17.8	0.0
0.42	18.3	0.7	44.15	3.046	17.85	0.0
0.43	18.1	0.7	42.9	3.058	17.7	0.0
0.44	18.2	0.7	41.5	3.06	17.55	0.0
0.45	18.0	0.7	40.54	3.061	17.5	0.0
0.46	18.4	0.7	40.03	3.05	17.13	0.0
0.47	18.3	0.7	39.6	3.049	17.0	0.0
0.48	18.0	0.7	39.65	3.064	17.2	0.0
0.49	17.6	0.7	39.9	3.091	17.35	0.0
0.50	17.5	0.7	40.45	3.157	17.3	0.0
0.51	17.6	0.8	41.35	3.257	17.25	0.0
0.52	17.8	0.8	42.9	3.337	17.39	0.0
0.53	18.2	0.8	44.7	3.39	17.64	0.0
0.54	18.1	0.9	45.96	3.478	17.66	0.0
0.55	17.8	0.9	46.75	3.569	17.39	0.0
0.56	18.2	0.9	47.6	3.619	17.35	0.0
0.57	16.0	0.9	48.3	3.672	17.64	0.0
0.58	18.4	1.0	48.6	3.742	18.05	0.0
0.59	18.2	1.0	49.0	3.797	18.39	0.0
0.60	17.2	1.0	50.05	3.838	18.85	0.0
0.61	18.2	1.1	51.35	3.887	18.89	0.0
0.62	17.6	1.1	58.96	3.98	18.43	0.0
