%
Project ID	saudardalsstifla
Sounding ID	2
Zero values	2432.9 27494.0 2051.0 2466.7 27450.0 2050.8
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
0.63	17.7	1.2	70.4	4.108	19.6	0.0
0.64	17.7	1.3	75.75	4.234	20.55	0.0
0.65	17.9	1.4	79.59	4.426	20.05	0.0
0.66	17.9	1.5	82.3	4.666	19.8	0.0
0.67	17.8	1.5	85.85	4.866	20.45	0.0
0.68	17.7	1.7	94.1	5.051	20.1	0.0
0.69	17.3	1.8	94.7	5.363	18.55	0.0
0.70	17.9	1.9	76.23	5.875	17.83	0.0
0.71	18.0	2.0	54.7	6.271	17.95	0.0
0.72	17.6	2.0	48.7	6.483	16.6	0.0
0.73	18.3	2.1	50.05	6.592	15.85	0.0
0.74	18.2	2.1	52.5	6.694	15.45	0.0
0.75	18.2	2.1	53.35	6.773	13.85	0.0
0.76	18.2	2.1	53.65	6.814	14.1	0.0
0.77	18.1	2.2	50.1	6.814	14.6	0.0
0.78	17.6	2.2	46.1	6.828	14.55	0.0
0.79	18.2	2.3	47.25	6.921	16.64	0.0
0.80	17.7	2.3	46.33	7.118	15.33	0.0
0.81	18.1	2.4	43.1	7.38	12.85	0.0
0.82	18.2	2.6	41.65	7.54	12.9	0.0
0.83	17.8	2.8	40.7	7.657	13.4	0.0
0.84	18.3	2.9	40.35	7.722	14.0	0.0
0.85	18.2	2.9	42.7	7.738	15.05	0.0
0.86	18.3	2.9	43.4	7.728	16.0	0.0
0.87	18.4	2.9	36.95	7.717	16.8	0.0
0.88	18.4	2.9	29.25	7.677	17.6	0.0
0.89	18.5	2.8	25.45	7.603	18.5	0.0
0.90	18.2	2.9	25.15	7.544	19.45	0.0
0.91	18.4	2.8	28.0	7.512	19.46	0.0
0.92	18.4	2.8	32.54	7.452	19.85	0.0
0.93	18.3	2.7	35.7	7.33	20.6	0.0
0.94	18.7	2.5	38.9	7.186	21.6	0.0
0.95	18.4	2.4	43.35	7.062	22.7	0.0
0.96	18.8	2.3	48.3	6.943	23.4	0.0
0.97	18.6	2.3	51.6	6.763	24.7	0.0
0.98	18.8	2.2	53.65	6.524	26.25	0.0
0.99	18.8	2.2	54.9	6.336	27.05	0.0
1.00	18.7	2.1	54.35	6.186	27.3	0.0
1.01	19.1	2.0	53.85	5.913	28.5	0.0
1.02	18.9	1.9	53.9	5.501	29.8	0.0
1.03	19.4	1.8	52.7	5.153	30.1	0.0
1.04	18.6	1.7	50.3	4.904	30.5	0.0
1.05	18.7	1.6	48.45	4.63	31.0	0.0
1.06	18.3	1.6	47.6	4.242	31.23	0.0
1.07	18.3	1.5	47.1	3.958	30.8	0.0
1.08	18.4	1.4	46.65	3.802	30.45	0.0
1.09	18.7	1.4	46.65	3.645	30.1	0.0
1.10	18.4	1.3	46.55	3.477	29.9	0.0
1.11	18.6	1.3	46.6	3.338	29.7	0.0
1.12	18.4	1.3	48.0	3.252	29.35	0.0
1.13	18.5	1.3	48.75	3.2	28.6	0.0
1.14	18.1	1.3	48.2	3.149	27.7	0.0
1.15	18.4	1.3	48.1	3.098	26.7	0.0
1.16	18.3	1.3	48.0	3.053	25.7	0.0
1.17	18.5	1.3	47.3	2.958	24.36	0.0
1.18	18.2	1.3	46.4	2.886	23.55	0.0
1.19	18.0	1.3	45.75	2.873	23.2	0.0
1.20	17.9	1.3	45.2	2.865	22.7	0.0
1.21	18.1	1.3	44.85	2.868	22.25	0.0
1.22	18.0	1.3	44.6	2.864	22.15	0.0
1.23	17.7	1.3	44.5	2.858	22.15	0.0
1.24	17.6	1.3	44.35	2.867	22.1	0.0
1.25	17.9	1.4	44.4	2.899	22.2	0.0
1.26	18.0	1.4	44.7	2.951	22.25	0.0
1.27	17.8	1.5	45.76	3.038	22.06	0.0
1.28	17.8	1.5	47.05	3.159	21.8	0.0
1.29	17.7	1.6	47.75	3.284	21.75	0.0
1.30	17.9	1.6	48.75	3.401	21.55	0.0
1.31	17.9	1.6	49.8	3.493	21.45	0.0
1.32	18.2	1.7	50.8	3.579	21.55	0.0
1.33	17.9	1.7	51.45	3.666	21.8	0.0
1.34	18.2	1.7	51.6	3.745	22.15	0.0
1.35	17.8	1.8	51.75	3.805	22.45	0.0
1.36	17.9	1.8	52.16	3.887	22.83	0.0
1.37	17.7	1.8	52.55	3.991	23.05	0.0
1.38	18.0	1.9	53.1	4.064	23.15	0.0
1.39	17.7	1.9	53.8	4.127	23.1	0.0
1.40	17.7	2.0	54.45	4.217	23.3	0.0
1.41	17.8	2.0	55.15	4.33	23.9	0.0
1.42	18.2	2.0	55.75	4.421	24.45	0.0
1.43	18.2	2.0	56.25	4.476	25.0	0.0
1.44	17.8	2.0	56.5	4.508	25.75	0.0
1.45	18.6	2.0	56.06	4.521	26.46	0.0
1.46	17.5	2.0	55.4	4.506	26.8	0.0
1.47	18.2	2.0	54.7	4.481	26.85	0.0
1.48	17.9	2.0	54.1	4.442	26.8	0.0
1.49	18.4	2.0	53.7	4.419	26.8	0.0
1.50	18.0	2.0	53.45	4.405	26.85	0.0
1.51	18.5	2.0	53.3	4.395	27.1	0.0
1.52	17.6	2.0	53.15	4.407	27.45	0.0
1.53	18.7	2.1	53.3	4.439	27.75	0.0
1.54	17.4	2.1	53.75	4.479	28.25	0.0
1.55	17.7	2.1	54.4	4.522	28.4	0.0
1.56	18.1	2.1	55.0	4.531	27.8	0.0
1.57	18.1	2.1	55.2	4.504	27.2	0.0
1.58	18.3	2.1	55.15	4.482	26.6	0.0
1.59	18.2	2.1	56.5	4.472	25.9	0.0
1.60	18.2	2.1	58.0	4.451	25.3	0.0
1.61	18.4	2.1	57.75	4.408	24.95	0.0
1.62	18.5	2.1	57.5	4.363	24.85	0.0
1.63	18.0	2.1	57.45	4.31	24.85	0.0
1.64	18.7	2.0	56.43	4.171	25.16	0.0
1.65	18.3	2.0	55.4	4.062	25.3	0.0
1.66	19.3	1.9	53.43	3.922	25.43	0.0
1.67	18.3	1.8	48.65	3.619	25.8	0.0
1.68	18.9	1.7	46.05	3.295	26.5	0.0
1.69	18.4	1.7	45.75	3.003	27.0	0.0
1.70	19.3	1.6	44.75	2.816	26.9	0.0
1.71	18.3	1.6	42.25	2.675	27.05	1.0
1.72	19.0	1.5	39.85	2.496	27.35	1.0
1.73	18.0	1.5	38.0	2.291	27.35	1.0
1.74	19.2	1.4	36.4	2.138	27.05	1.0
1.75	18.0	1.4	34.95	2.032	26.3	1.0
1.76	18.8	1.3	34.15	1.921	25.2	1.0
1.77	18.2	1.3	34.0	1.813	24.3	1.0
1.78	18.3	1.3	33.95	1.742	23.9	1.0
1.79	17.4	1.3	34.16	1.69	23.3	1.0
1.80	18.5	1.3	35.15	1.663	21.9	1.0
1.81	17.7	1.3	35.9	1.658	20.65	1.0
1.82	19.0	1.3	36.7	1.664	19.8	1.0
1.83	17.6	1.3	37.7	1.675	19.2	1.0
1.84	19.1	1.3	38.6	1.699	18.7	1.0
1.85	17.8	1.3	39.29	1.735	18.45	1.0
1.86	18.6	1.3	39.95	1.76	18.35	1.0
1.87	17.5	1.3	40.4	1.775	18.3	1.0
1.88	18.2	1.3	40.45	1.786	18.45	1.0
1.89	18.2	1.3	40.26	1.792	18.86	1.0
1.90	18.7	1.3	39.95	1.786	19.35	1.0
1.91	17.5	1.3	39.4	1.776	19.64	1.0
1.92	18.6	1.3	38.95	1.764	20.05	1.0
1.93	17.9	1.3	38.75	1.764	20.5	1.0
1.94	18.5	1.3	38.85	1.784	20.9	1.0
1.95	17.7	1.4	39.4	1.821	21.45	1.0
1.96	18.2	1.4	40.1	1.883	22.3	1.0
1.97	17.9	1.4	40.54	1.94	23.1	1.0
1.98	18.5	1.3	40.35	1.945	23.65	1.0
1.99	18.1	1.3	38.79	1.889	24.2	1.0
2.00	18.8	1.3	37.29	1.784	24.1	1.0
2.01	18.4	1.3	36.45	1.726	23.85	1.0
2.02	17.5	1.3	35.18	1.71	23.81	1.0
2.03	18.5	1.3	36.56	1.814	26.86	1.0
2.04	17.7	1.3	37.1	1.834	28.7	1.0
2.05	18.2	1.3	37.1	1.834	28.7	1.0
2.06	18.0	1.4	37.1	1.834	28.7	1.0
2.07	17.8	1.4	37.1	1.834	28.7	1.0
2.08	18.3	1.4	37.4	1.818	29.4	1.0
2.09	18.1	1.4	37.04	1.783	30.35	1.0
2.10	18.9	1.4	34.9	1.734	30.3	1.0
2.11	18.1	1.4	32.9	1.665	28.9	1.0
2.12	18.1	1.3	32.29	1.604	26.95	1.0
2.13	18.5	1.3	32.15	1.584	25.2	1.0
2.14	17.7	1.3	31.95	1.585	23.5	1.0
2.15	18.4	1.4	31.9	1.59	22.45	1.0
2.16	17.3	1.4	32.15	1.623	22.15	1.0
2.17	18.2	1.5	32.45	1.696	22.2	1.0
2.18	17.3	1.5	34.96	1.838	22.36	1.0
2.19	17.5	1.6	39.25	2.055	22.0	1.0
2.20	17.1	1.7	41.9	2.311	21.25	0.0
2.21	17.6	1.8	45.55	2.566	20.2	0.0
2.22	17.6	1.9	49.1	2.772	19.14	0.0
2.23	18.1	1.9	50.55	2.947	18.39	0.0
2.24	17.4	2.0	51.0	3.092	18.5	0.0
2.25	17.1	2.0	52.05	3.226	18.75	0.0
2.26	17.5	2.1	56.53	3.501	18.56	0.0
2.27	17.3	2.2	61.6	3.834	18.55	0.0
2.28	17.8	2.3	63.95	4.089	18.89	0.0
2.29	16.5	2.9	67.09	4.334	19.45	0.0
2.30	16.9	3.7	71.7	4.582	20.3	0.0
2.31	16.7	4.5	76.34	4.947	21.2	0.0
2.32	17.1	5.2	82.5	5.55	22.5	0.0
2.33	17.2	6.0	89.95	6.02	24.3	0.0
2.34	17.1	6.6	94.5	6.374	25.95	0.0
2.35	17.4	7.1	97.75	6.747	27.1	0.0
2.36	17.6	7.6	102.05	6.989	27.65	0.0
2.37	17.4	8.0	106.4	7.161	28.3	0.0
2.38	17.4	8.3	109.0	7.328	29.4	0.0
2.39	18.0	8.6	111.56	7.579	32.29	0.0
2.40	0.5	0.0	63.98	3.44	17.33	0.0
2.41	4.8	1.2	118.1	4.029	38.79	0.0
2.42	11.8	8.3	116.7	4.0	36.9	0.0
2.43	12.3	8.5	115.8	3.977	36.15	0.0
2.44	13.4	8.4	114.9	3.954	35.4	0.0
2.45	15.0	8.4	114.9	3.954	35.4	0.0
2.46	14.9	8.3	114.9	3.954	35.4	0.0
2.47	13.3	8.1	114.15	3.895	35.29	0.0
2.48	1.6	1.4	112.53	3.705	34.96	0.0
2.49	23.3	8.0	111.4	3.594	34.4	0.0
2.50	23.3	7.7	111.4	3.594	34.4	0.0
2.51	23.4	7.5	109.9	3.562	33.45	0.0
2.52	24.1	7.4	108.4	3.53	32.5	0.0
2.53	25.0	6.9	108.4	3.53	32.5	0.0
2.54	24.3	6.6	108.4	3.53	32.5	0.0
2.55	24.6	6.3	108.4	3.53	32.5	0.0
2.56	25.1	6.0	108.4	3.53	32.5	0.0
2.57	25.2	5.7	108.15	3.503	31.7	0.0
2.58	25.8	5.4	107.9	3.476	30.9	0.0
2.59	25.6	5.1	107.9	3.476	30.9	0.0
2.60	26.5	4.8	107.9	3.476	30.9	0.0
2.61	26.4	4.4	107.9	3.476	30.9	0.0
2.62	27.7	4.2	107.9	3.476	30.9	0.0
2.63	27.9	3.8	107.9	3.476	30.9	0.0
2.64	27.7	3.5	107.9	3.463	30.4	0.0
2.65	27.5	3.3	107.9	3.45	29.9	0.0
2.66	28.1	3.2	107.9	3.45	29.9	0.0
2.67	28.1	3.1	107.9	3.45	29.9	0.0
2.68	28.3	3.0	107.9	3.45	29.9	0.0
2.69	29.7	3.0	107.9	3.45	29.9	0.0
2.70	30.0	3.0	107.9	3.45	29.9	0.0
2.71	29.9	2.8	107.9	3.45	29.9	0.0
2.72	28.4	2.7	105.6	3.389	30.1	0.0
2.73	29.7	2.6	103.3	3.328	30.3	0.0
2.74	29.5	2.5	103.3	3.328	30.3	0.0
2.75	30.3	2.4	103.3	3.328	30.3	0.0
2.76	29.3	2.3	103.3	3.328	30.3	0.0
2.77	29.5	2.3	103.3	3.328	30.3	0.0
2.78	29.5	2.3	94.87	3.12	33.45	1.0
2.79	29.5	2.3	87.47	2.845	33.52	1.0
2.80	30.0	2.3	81.75	2.647	28.32	1.0
2.81	29.8	2.2	73.22	2.27	24.72	1.0
2.82	28.9	2.2	68.33	2.017	22.4	1.0
2.83	16.7	2.1	65.4	1.93	19.28	0.0
2.84	15.6	2.1	60.78	1.653	18.45	1.0
2.85	16.5	2.1	63.81	1.759	13.56	0.0
2.86	16.1	2.0	73.65	2.16	12.4	0.0
2.87	16.1	2.0	80.91	2.456	15.18	0.0
2.88	15.7	1.9	79.01	2.418	18.78	0.0
2.89	16.3	1.8	72.28	2.213	21.13	0.0
2.90	16.1	1.8	65.06	1.95	22.25	1.0
2.91	16.2	1.7	61.77	1.837	22.38	1.0
2.92	16.1	1.7	62.26	1.897	21.31	1.0
2.93	16.0	1.7	62.63	1.922	19.08	0.0
2.94	15.8	1.7	63.06	1.915	20.02	1.0
2.95	16.3	1.7	62.8	1.852	21.6	1.0
2.96	15.7	1.7	62.65	1.831	21.6	1.0
2.97	17.1	1.6	62.5	1.81	21.6	1.0
2.98	16.8	1.6	62.5	1.81	21.6	1.0
2.99	15.7	1.6	62.5	1.81	21.6	1.0
3.00	16.9	1.6	61.75	1.791	21.75	1.0
3.01	16.2	1.6	61.0	1.772	21.9	1.0
3.02	16.6	1.6	61.0	1.772	21.9	1.0
3.03	16.5	1.6	61.0	1.772	21.9	1.0
3.04	16.6	1.7	60.5	1.751	21.85	1.0
3.05	16.6	1.7	60.0	1.73	21.8	1.0
3.06	16.3	1.8	60.0	1.73	21.8	1.0
3.07	16.7	1.8	60.0	1.73	21.8	1.0
3.08	16.1	1.9	60.55	1.713	22.0	1.0
3.09	16.1	1.9	61.1	1.696	22.2	1.0
3.10	16.2	2.0	61.1	1.696	22.2	1.0
3.11	16.4	2.0	61.1	1.696	22.2	1.0
3.12	16.4	2.0	61.9	1.668	22.3	1.0
3.13	16.6	2.0	62.7	1.64	22.4	1.0
3.14	16.5	2.0	62.7	1.64	22.4	1.0
3.15	16.4	2.0	62.7	1.64	22.4	1.0
3.16	16.6	2.0	62.7	1.64	22.4	1.0
3.17	16.3	2.0	63.7	1.627	22.85	1.0
3.18	16.8	2.0	64.7	1.614	23.3	1.0
3.19	16.1	2.0	64.7	1.614	23.3	1.0
3.20	16.7	2.0	64.7	1.614	23.3	1.0
3.21	16.4	2.0	65.05	1.613	23.45	1.0
3.22	16.8	2.0	65.4	1.612	23.6	1.0
3.23	16.6	2.0	65.4	1.612	23.6	1.0
3.24	16.7	2.0	65.4	1.612	23.6	1.0
3.25	16.8	2.0	65.4	1.612	23.6	1.0
3.26	17.5	1.9	66.09	1.625	24.25	1.0
3.27	17.9	1.9	66.8	1.638	24.9	1.0
3.28	18.3	1.9	66.8	1.638	24.9	1.0
3.29	18.0	1.9	66.8	1.638	24.9	1.0
3.30	17.8	1.9	67.65	1.669	25.5	1.0
3.31	17.8	1.9	68.5	1.7	26.1	1.0
3.32	17.6	1.9	68.5	1.7	26.1	1.0
3.33	18.1	1.9	68.5	1.7	26.1	1.0
3.34	17.8	1.9	68.5	1.7	26.1	1.0
3.35	17.9	1.9	69.7	1.729	26.3	1.0
3.36	17.9	1.9	70.9	1.758	26.5	1.0
3.37	18.1	1.9	70.9	1.758	26.5	1.0
3.38	17.8	1.9	70.9	1.758	26.5	1.0
3.39	17.6	1.9	70.9	1.758	26.5	1.0
3.40	17.8	1.9	71.7	1.768	26.65	1.0
3.41	17.9	1.9	72.5	1.778	26.8	1.0
3.42	18.3	1.9	72.5	1.778	26.8	1.0
3.43	18.0	1.9	72.5	1.778	26.8	1.0
3.44	17.8	1.9	72.7	1.781	27.0	1.0
3.45	17.5	1.9	72.9	1.784	27.2	1.0
3.46	17.8	1.9	72.9	1.784	27.2	1.0
3.47	18.0	1.8	72.9	1.784	27.2	1.0
3.48	18.1	1.8	72.9	1.784	27.2	1.0
3.49	18.1	1.8	73.15	1.776	27.05	1.0
3.50	18.2	1.7	73.4	1.768	26.9	1.0
3.51	17.9	1.7	73.4	1.768	26.9	1.0
3.52	17.9	1.7	73.4	1.768	26.9	1.0
3.53	17.5	1.7	75.22	1.791	25.2	1.0
3.54	17.9	1.8	79.02	1.916	23.82	1.0
3.55	17.8	1.8	77.59	1.911	24.78	1.0
3.56	18.0	1.8	72.0	1.766	27.41	1.0
3.57	17.9	1.8	69.8	1.704	28.3	1.0
3.58	17.8	1.8	79.09	2.013	25.93	1.0
3.59	17.8	1.8	90.23	2.412	22.66	0.0
3.60	17.8	1.8	87.91	2.352	20.06	0.0
3.61	17.8	1.8	72.17	1.842	19.94	1.0
3.62	17.6	1.8	63.85	1.434	21.8	1.0
3.63	17.6	1.8	89.0	1.374	24.95	1.0
3.64	17.8	1.8	119.2	1.794	28.0	1.0
3.65	17.7	1.8	127.3	2.096	28.72	1.0
3.66	17.8	1.8	120.06	2.038	23.95	1.0
3.67	18.0	1.8	127.35	2.306	25.76	1.0
3.68	17.9	1.8	122.6	2.277	27.83	1.0
3.69	17.9	1.8	110.4	1.983	29.26	1.0
3.70	17.7	1.8	111.25	2.049	30.75	1.0
3.71	18.0	1.8	110.9	2.052	31.4	1.0
3.72	18.2	1.8	109.7	2.029	32.54	1.0
3.73	18.0	1.8	108.5	2.005	33.7	1.0
3.74	17.8	1.8	108.5	2.005	33.7	1.0
3.75	17.8	1.8	108.5	2.005	33.7	1.0
3.76	17.6	1.8	108.5	2.005	33.7	1.0
3.77	17.4	1.8	107.25	1.979	34.45	1.0
3.78	17.7	1.8	106.0	1.952	35.2	1.0
3.79	17.5	1.9	106.0	1.952	35.2	1.0
3.80	17.4	2.0	106.0	1.952	35.2	1.0
3.81	17.8	2.0	106.0	1.952	35.2	1.0
3.82	17.6	2.0	104.8	1.902	35.0	1.0
3.83	17.5	2.1	103.6	1.852	34.79	1.0
3.84	18.0	2.1	103.6	1.852	34.79	1.0
3.85	17.4	2.1	103.6	1.852	34.79	1.0
3.86	17.8	2.1	103.6	1.852	34.79	1.0
3.87	17.7	2.1	102.65	1.81	34.65	1.0
3.88	18.1	2.0	101.7	1.768	34.5	1.0
3.89	18.1	2.0	101.7	1.768	34.5	1.0
3.90	18.5	1.9	101.7	1.768	34.5	1.0
3.91	18.1	1.9	101.7	1.768	34.5	1.0
3.92	18.9	1.8	101.7	1.772	34.65	1.0
3.93	17.5	1.8	101.7	1.776	34.79	1.0
3.94	17.6	1.8	101.7	1.776	34.79	1.0
3.95	18.0	1.7	101.7	1.776	34.79	1.0
3.96	17.8	1.7	101.7	1.776	34.79	1.0
3.97	18.1	1.7	103.5	1.802	34.54	1.0
3.98	18.3	1.7	105.3	1.828	34.29	1.0
3.99	17.6	1.7	105.3	1.828	34.29	1.0
4.00	18.0	1.7	105.3	1.828	34.29	1.0
4.01	17.7	1.7	105.3	1.828	34.29	1.0
4.02	17.7	1.7	108.1	1.936	34.7	1.0
4.03	17.5	1.8	110.9	2.044	35.1	1.0
4.04	17.3	1.8	110.9	2.044	35.1	1.0
4.05	17.5	1.9	110.9	2.044	35.1	1.0
4.06	17.3	2.0	110.9	2.044	35.1	1.0
4.07	17.8	2.0	115.05	2.23	35.65	1.0
4.08	17.6	2.0	119.2	2.416	36.2	1.0
4.09	18.5	2.0	119.2	2.416	36.2	1.0
4.10	17.9	2.0	119.2	2.416	36.2	1.0
4.11	18.2	2.0	119.2	2.416	36.2	1.0
4.12	17.4	1.9	126.55	2.566	37.0	1.0
4.13	18.5	1.9	133.9	2.716	37.79	1.0
4.14	17.3	1.9	133.9	2.716	37.79	1.0
4.15	18.0	2.0	133.9	2.716	37.79	1.0
4.16	17.1	2.0	133.9	2.716	37.79	1.0
4.17	17.8	2.1	141.25	2.866	39.79	1.0
4.18	16.9	2.1	148.6	3.016	41.8	1.0
4.19	17.6	2.2	148.6	3.016	41.8	1.0
4.20	18.1	2.2	148.6	3.016	41.8	1.0
4.21	18.5	2.1	148.6	3.016	41.8	1.0
4.22	18.8	2.1	148.6	3.016	41.8	1.0
4.23	17.9	2.0	154.15	3.266	45.7	1.0
4.24	17.7	2.0	159.69	3.516	49.6	1.0
4.25	17.9	2.0	159.69	3.516	49.6	1.0
4.26	17.4	2.0	159.69	3.516	49.6	1.0
4.27	17.4	2.1	159.69	3.516	49.6	1.0
4.28	17.7	2.1	166.6	3.808	53.7	1.0
4.29	18.4	2.1	173.5	4.1	57.8	1.0
4.30	17.5	2.1	173.5	4.1	57.8	1.0
4.31	18.4	2.1	209.18	4.869	54.22	1.0
4.32	17.6	2.1	224.02	5.61	42.72	0.0
4.33	18.2	2.1	199.11	5.039	35.21	0.0
4.34	17.0	2.1	162.53	3.937	28.21	0.0
4.35	16.8	2.2	116.46	2.69	32.86	1.0
4.36	16.3	2.7	85.31	1.821	32.38	1.0
4.37	16.5	3.6	93.61	1.721	26.26	1.0
4.38	15.6	4.8	105.53	1.708	26.06	1.0
4.39	16.4	6.1	106.58	1.743	29.35	1.0
4.40	17.1	7.0	99.31	1.559	33.76	2.0
4.41	16.9	7.6	86.13	1.213	29.96	2.0
4.42	17.1	8.0	83.22	1.176	27.96	2.0
4.43	17.5	8.2	81.16	1.155	27.38	2.0
4.44	18.4	8.2	79.75	1.14	27.18	2.0
4.45	18.1	8.0	78.42	1.13	27.04	2.0
4.46	17.8	7.9	77.0	1.12	26.92	2.0
4.47	18.4	7.6	64.0	0.881	19.89	2.0
4.48	17.9	7.4	52.1	0.646	13.0	2.0
4.49	18.9	7.1	52.1	0.646	13.0	2.0
4.50	18.3	6.7	52.1	0.646	13.0	2.0
4.51	18.1	6.4	52.65	0.657	10.55	1.0
4.52	18.6	6.1	53.2	0.668	8.1	1.0
4.53	18.2	5.7	53.2	0.668	8.1	1.0
4.54	19.0	5.3	53.2	0.668	8.1	1.0
4.55	18.0	4.9	53.2	0.668	8.1	1.0
4.56	19.0	4.5	53.2	0.668	8.1	1.0
4.57	18.0	4.1	53.6	0.676	8.1	1.0
4.58	18.5	3.8	54.0	0.684	8.1	1.0
4.59	18.2	3.5	54.0	0.684	8.1	1.0
4.60	18.4	3.2	54.0	0.684	8.1	1.0
4.61	18.0	3.0	54.0	0.684	8.1	1.0
4.62	18.5	2.9	54.25	0.689	8.15	1.0
4.63	17.8	2.7	54.5	0.694	8.19	1.0
4.64	18.0	2.6	54.5	0.694	8.19	1.0
4.65	17.2	2.8	54.5	0.694	8.19	1.0
4.66	17.6	3.0	54.5	0.694	8.19	1.0
4.67	18.2	3.1	54.7	0.696	8.25	1.0
4.68	17.7	3.1	54.9	0.698	8.3	1.0
4.69	18.0	3.1	54.9	0.698	8.3	1.0
4.70	17.5	3.0	54.9	0.698	8.3	1.0
4.71	18.2	2.9	54.9	0.698	8.3	1.0
4.72	17.8	2.9	55.0	0.7	8.35	1.0
4.73	17.7	3.1	55.1	0.702	8.4	1.0
4.74	17.6	3.1	55.1	0.702	8.4	1.0
4.75	18.0	3.2	55.1	0.702	8.4	1.0
4.76	17.5	3.2	55.1	0.702	8.4	1.0
4.77	17.7	3.3	55.2	0.704	8.44	1.0
4.78	18.0	3.3	55.3	0.706	8.5	1.0
4.79	0.6	1.4	55.54	0.711	8.77	1.0
4.80	0.3	0.4	84.49	1.689	21.88	1.0
4.81	15.1	6.7	153.15	3.628	31.65	0.0
4.82	16.2	6.8	155.3	3.678	31.8	0.0
4.83	16.2	6.9	155.3	3.678	31.8	0.0
4.84	16.3	7.0	155.3	3.678	31.8	0.0
4.85	16.5	6.9	153.8	3.772	31.7	0.0
4.86	16.3	6.8	152.3	3.866	31.6	0.0
4.87	16.8	6.6	152.3	3.866	31.6	0.0
4.88	16.9	6.4	152.3	3.866	31.6	0.0
4.89	16.7	6.1	152.3	3.866	31.6	0.0
4.90	17.1	5.6	150.65	3.98	31.45	0.0
4.91	16.9	5.2	149.0	4.094	31.3	0.0
4.92	17.5	4.9	149.0	4.094	31.3	0.0
4.93	17.9	4.7	149.0	4.094	31.3	0.0
