DM,1694S,127,127
DT,04371,0714,0630,0726,0554
DT,04371,0714,0630,0726,0554
DT,04371,0714,0630,0724,0554
DT,04371,0714,0628,0724,0554
DT,04371,0714,0630,0726,0552
DT,04371,0714,0630,0724,0552
DT,04371,0714,0626,0728,0554
DT,04371,0714,0624,0724,0554
DT,04371,0714,0624,0726,0554
DT,04371,0714,0626,0724,0552
DT,04371,0714,0626,0728,0554
DT,04371,0714,0630,0724,0552
DT,04370,0714,0626,0728,0554
DT,04370,0714,0630,0724,0550
DT,04369,0714,0626,0726,0556
DT,04368,0714,0626,0726,0552
DT,04368,0714,0630,0726,0556
DT,04366,0714,0626,0726,0556
DT,04365,0706,0634,0718,0558
DT,04364,0712,0600,0718,0560
DT,04364,0698,0598,0710,0564
DT,04363,0696,0592,0710,0574
DT,04363,0696,0592,0706,0576
DT,04361,0698,0592,0706,0590
DT,04361,0700,0588,0724,0592
DT,04360,0700,0588,0754,0596
DT,04360,0698,0588,0746,0590
DT,04359,0700,0586,0750,0598
DT,04358,0704,0588,0738,0598
DT,04357,0708,0586,0712,0588
DT,04356,0716,0586,0712,0588
DT,04355,0714,0596,0714,0596
DT,04354,0710,0588,0710,0584
DT,04354,0706,0582,0708,0576
DT,04353,0708,0582,0704,0576
DT,04353,0704,0584,0708,0574
DT,04352,0704,0588,0706,0572
DT,04351,0706,0604,0710,0574
DT,04351,0706,0598,0752,0572
DT,04350,0706,0592,0732,0574
DT,04349,0706,0588,0734,0580
DT,04349,0706,0584,0736,0586
DT,04347,0710,0586,0710,0586
DT,04347,0710,0590,0710,0582
DT,04346,0710,0594,0712,0580
DT,04346,0714,0604,0726,0582
DT,04345,0716,0598,0746,0590
DT,04344,0714,0594,0708,0594
DT,04344,0712,0598,0706,0608
DT,04343,0712,0608,0702,0592
DT,04342,0708,0608,0702,0578
DT,04340,0710,0602,0706,0576
DT,04340,0710,0674,0720,0572
DT,04339,0714,0608,0716,0576
DT,04339,0712,0594,0710,0578
DT,04338,0708,0586,0710,0576
DT,04337,0708,0590,0714,0576
DT,04337,0706,0590,0726,0576
DT,04336,0702,0598,0736,0576
DT,04335,0704,0632,0706,0578
DT,04335,0706,0606,0702,0582
DT,04334,0706,0602,0704,0578
DT,04334,0708,0600,0708,0574
DT,04333,0712,0604,0718,0574
DT,04332,0710,0604,0702,0576
DT,04332,0710,0600,0694,0578
DT,04331,0710,0602,0698,0582
DT,04330,0704,0592,0698,0584
DT,04330,0700,0588,0702,0592
DT,04329,0704,0586,0708,0630
DT,04329,0700,0586,0708,0592
DT,04328,0700,0588,0704,0580
DT,04327,0700,0594,0698,0576
DT,04326,0704,0640,0698,0576
DT,04325,0700,0614,0704,0574
DT,04325,0702,0606,0714,0574
DT,04324,0698,0600,0718,0578
DT,04323,0704,0594,0714,0582
DT,04322,0710,0594,0708,0588
DT,04322,0710,0598,0696,0588
DT,04321,0710,0596,0694,0588
DT,04320,0702,0602,0690,0592
DT,04319,0704,0602,0694,0588
DT,04318,0698,0596,0696,0592
DT,04318,0696,0594,0700,0588
DT,04317,0700,0594,0704,0592
DT,04317,0700,0598,0712,0594
DT,04316,0700,0602,0696,0592
DT,04315,0700,0606,0696,0590
DT,04315,0700,0662,0700,0590
DT,04314,0702,0636,0730,0586
DT,04313,0706,0624,0700,0586
DT,04312,0714,0626,0696,0584
DT,04311,0760,0604,0694,0588
